Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BATTERY_CR2032","BatteryHolder_Keystone_1060_1x2032",28.401680,11.705340,180.000000,top
"C1","100n","C0603",66.551680,21.730340,-90.000000,top
"C2","100n","C0603",126.002380,43.912400,-90.000000,top
"C3","100n","C0603",62.811679,26.305340,0.000000,top
"C4","10u","C0603",130.591681,84.205340,180.000000,top
"C5","100n","C0603",129.901680,79.705340,-90.000000,top
"C6","100n","C0603",135.591681,14.255354,180.000000,top
"C7","100n","C0603",35.130197,119.311784,-90.000000,top
"C8","6.8n","C0603",45.261680,100.375340,0.000000,top
"C9","10u","C0805",36.621680,119.725340,90.000000,top
"C10","10n","C0603",42.601680,100.280340,180.000000,top
"C11","10u","C0805",38.121680,119.725340,90.000000,top
"C12","10u","C0805",39.621680,119.725340,90.000000,top
"C13","10u","C0805",41.121680,119.725340,90.000000,top
"C14","220n","C0603",35.900000,116.300000,-90.000000,top
"C15","10u","C0805",42.621680,119.725340,90.000000,top
"C16","10u","C0805",44.121680,119.725340,-90.000000,top
"C17","10u","C0805",40.051680,99.330340,-90.000000,top
"C18","10u","C0805",38.551680,99.330340,-90.000000,top
"C19","10u","C0805",37.051680,99.330340,90.000000,top
"C20","10u","C0805",35.551680,99.330340,90.000000,top
"C22","1u","C0603",111.401680,109.555340,180.000000,top
"D1","LED-GREEN-0805","LED-0805",68.206040,5.730340,180.000000,top
"D2","LED-GREEN-0805","LED-0805",68.126680,9.830340,180.000000,top
"D3","LED-BLUE-0603","LED-0603",123.730832,49.990849,-90.000000,top
"D4","LED-BLUE-0603","LED-0603",121.730832,49.990849,-90.000000,top
"D5","1N4148WS","SOD-323",26.475000,89.912500,-90.000000,top
"D6","LED-RED-0603","LED-0603",72.211889,78.256090,90.000000,top
"D7","LED-RED-0603","LED-0603",68.911889,78.256090,90.000000,top
"D8","LED-RED-0603","LED-0603",67.011889,78.256090,90.000000,top
"D9","LED-RED-0603","LED-0603",63.711889,78.256090,90.000000,top
"D10","LED-GREEN-0805","LED-0805",24.664740,89.812501,90.000000,top
