Designator,Mid X,Mid Y,Layer,Rotation
BT1,29.9mm,17.5mm,Top,180.0
C1,70.239359mm,21.20488mm,Top,0.0
C2,126.1007mm,49.70706mm,Top,270.0
C3,62.920959mm,34.8mm,Top,0.0
C4,130.690001mm,90.0mm,Top,180.0
C5,130.0mm,85.5mm,Top,270.0
D1,68.27936mm,9.80488mm,Top,180.0
D2,68.22936mm,12.30488mm,Top,180.0
D3,123.829152mm,55.785509mm,Top,270.0
D4,121.829152mm,55.785509mm,Top,270.0
D5,29.41096mm,119.0mm,Top,270.0
D6,72.310209mm,84.05075mm,Top,90.0
D7,69.010209mm,84.05075mm,Top,90.0
D8,67.110209mm,84.05075mm,Top,90.0
D9,63.810209mm,84.05075mm,Top,90.0
D10,27.6007mm,118.900001mm,Top,90.0
D11,31.31096mm,119.0mm,Top,90.0
D12,73.997706mm,83.949251mm,Top,270.0
D13,70.697706mm,83.949251mm,Top,270.0
D14,65.510209mm,83.95075mm,Top,270.0
D15,62.210209mm,83.95075mm,Top,270.0
D16,45.549998mm,97.00706mm,Top,90.0
D17,42.3mm,97.0mm,Top,90.0
D18,40.4mm,97.0mm,Top,90.0
D19,37.1mm,97.0mm,Top,90.0
D20,47.2mm,96.905561mm,Top,270.0
D21,44.0mm,96.9mm,Top,270.0
D22,38.787497mm,96.898501mm,Top,270.0
D23,35.5mm,96.9mm,Top,270.0
D24,81.51136mm,73.20088mm,Top,0.0
D25,45.712503mm,13.001498mm,Top,90.0
D26,98.0007mm,109.60706mm,Top,180.0
D27,98.0007mm,107.70706mm,Top,180.0
D29,98.1007mm,111.30706mm,Top,0.0
D30,98.1007mm,106.094557mm,Top,0.0
G1,141.5007mm,135.40706mm,Top,90.0
G2,145.61096mm,113.982mm,Top,90.0
G3,141.4007mm,121.00706mm,Top,90.0
G4,20.32mm,55.88mm,Top,90.0
G5,5.08mm,33.02mm,Top,90.0
G6,5.08mm,55.88mm,Top,90.0
G7,20.32mm,33.02mm,Top,90.0
J1,86.325mm,109.5mm,Top,90.0
J2,86.2007mm,118.70706mm,Top,0.0
J3,76.67936mm,7.20488mm,Top,90.0
J4,122.92236mm,14.78388mm,Top,270.0
J5,124.02936mm,46.70488mm,Top,270.0
J6,110.81136mm,89.74088mm,Top,270.0
J7,30.47736mm,82.23888mm,Top,90.0
J8,86.51136mm,87.20088mm,Top,90.0
J9,69.02936mm,68.20488mm,Top,180.0
J10,50.25236mm,84.51388mm,Top,270.0
J23,92.6mm,133.5mm,Top,0.0
J25,134.6mm,76.8mm,Top,0.0
J26,145.57mm,66.5mm,Top,180.0
P1,109.499364mm,94.6mm,Top,180.0
P2,142.77824mm,143.37378mm,Top,0.0
P22,65.21096mm,41.70488mm,Top,180.0
P23,62.4007mm,41.70488mm,Top,180.0
P24,65.21096mm,49.20488mm,Top,180.0
P25,62.4007mm,49.20706mm,Top,180.0
P26,79.2007mm,82.20088mm,Top,180.0
P27,82.01136mm,85.00706mm,Top,180.0
P28,82.01136mm,82.20088mm,Top,180.0
P46,64.81096mm,128.3mm,Top,0.0
P47,59.31096mm,134.8mm,Top,0.0
P48,61.31096mm,128.3mm,Top,0.0
P49,53.31096mm,134.8mm,Top,0.0
P50,54.06096mm,129.80088mm,Top,0.0
P51,45.81096mm,128.3mm,Top,0.0
P52,129.41096mm,134.795mm,Top,0.0
P53,119.91096mm,134.795mm,Top,0.0
P54,110.91096mm,134.795mm,Top,0.0
P55,107.71056mm,134.79412mm,Top,0.0
P56,104.51096mm,134.795mm,Top,0.0
R1,122.829152mm,59.785509mm,Top,180.0
R2,73.12936mm,11.07988mm,Top,90.0
R3,88.7007mm,83.80706mm,Top,0.0
R4,118.4007mm,123.70706mm,Top,270.0
R5,29.31096mm,115.0mm,Top,0.0
R6,68.110209mm,88.05075mm,Top,180.0
R7,41.4mm,101.0mm,Top,180.0
R8,81.73636mm,77.20088mm,Top,0.0
R9,81.51136mm,69.30088mm,Top,0.0
R10,113.41096mm,124.344979mm,Top,90.0
R11,115.41096mm,121.89mm,Top,270.0
R12,127.41096mm,128.295mm,Top,90.0
R14,101.8007mm,109.70706mm,Top,180.0
R15,101.8007mm,107.80706mm,Top,180.0
R16,93.7007mm,108.70706mm,Top,270.0
R17,125.91096mm,134.795mm,Top,90.0
R18,121.4mm,124.449979mm,Top,90.0
R19,56.4007mm,128.30706mm,Top,90.0
R20,54.01136mm,124.53088mm,Top,90.0
R21,109.41096mm,118.250001mm,Top,90.0
R22,114.61096mm,118.095mm,Top,0.0
R23,53.31136mm,120.80088mm,Top,0.0
R24,107.41096mm,124.245001mm,Top,90.0
R25,132.91096mm,134.8mm,Top,90.0
R26,134.41096mm,128.295mm,Top,90.0
R27,109.41096mm,122.495mm,Top,270.0
R28,62.31096mm,134.8mm,Top,90.0
R29,56.31096mm,134.8mm,Top,90.0
R30,58.31096mm,128.3mm,Top,90.0
R31,50.31096mm,134.8mm,Top,90.0
R32,51.7007mm,128.3mm,Top,90.0
R33,47.31096mm,134.8mm,Top,90.0
R34,48.81096mm,128.3mm,Top,90.0
R35,44.31096mm,134.8mm,Top,90.0
R36,41.31096mm,134.8mm,Top,90.0
R37,42.81096mm,128.3mm,Top,90.0
R38,38.31096mm,134.8mm,Top,90.0
R39,39.81096mm,128.3mm,Top,90.0
